               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092101,            0.074065,            0.052228,              0.4889,             0.16605,             0.11277,            0.042911,            0.061017,            0.062364,            0.042545,            0.070411,           0.0032877,           0.0032877
                   1,              0.0681,            0.065597,            0.040077,             0.30853,             0.34115,             0.22239,             0.10543,            0.065712,            0.041134,            0.035692,            0.040192,           0.0064025,           0.0064025
                   2,            0.068714,            0.058528,            0.034987,             0.36215,             0.43819,             0.35941,             0.17396,            0.053553,            0.040619,            0.029357,            0.009754,           0.0092974,           0.0092974
                   3,            0.061551,            0.056562,            0.030077,             0.38028,             0.50696,             0.42578,             0.20905,            0.055716,            0.040237,            0.024103,             0.00901,             0.00901,             0.00901
                   4,            0.053884,            0.053876,             0.02633,             0.50619,             0.70604,             0.58163,             0.32551,            0.043395,            0.039152,            0.020543,             0.00901,             0.00901,             0.00901
                   5,            0.047839,            0.053504,            0.023532,             0.54035,             0.73963,             0.61229,              0.3431,            0.038104,            0.038912,            0.018663,             0.00868,             0.00868,             0.00868
                   6,            0.044199,            0.054129,            0.020249,             0.63418,             0.73417,             0.64984,             0.37311,            0.039372,             0.03863,            0.016744,             0.00835,             0.00835,             0.00835
                   7,            0.043508,            0.054296,            0.018418,             0.66566,             0.75481,             0.69218,              0.4256,            0.033921,            0.038234,            0.015037,             0.00802,             0.00802,             0.00802
                   8,             0.04086,            0.052973,            0.016495,             0.67041,             0.80818,             0.68445,             0.39547,            0.032841,            0.037665,            0.013417,             0.00769,             0.00769,             0.00769
                   9,            0.039409,            0.050671,            0.015351,             0.67295,             0.82042,             0.71734,             0.44965,            0.034027,            0.038301,             0.01192,             0.00736,             0.00736,             0.00736
                  10,            0.037523,            0.050049,            0.013772,             0.70133,             0.80868,             0.74347,             0.43236,            0.032861,            0.038591,            0.011671,             0.00703,             0.00703,             0.00703
                  11,            0.037073,            0.048081,            0.013286,             0.69828,             0.81847,             0.75304,             0.50397,            0.030301,            0.037668,            0.010145,              0.0067,              0.0067,              0.0067
                  12,            0.035659,            0.048383,            0.011789,             0.73944,             0.81876,             0.77366,             0.47991,            0.031817,             0.03824,           0.0092117,             0.00637,             0.00637,             0.00637
                  13,             0.03421,            0.048069,            0.011106,             0.65435,             0.81505,             0.77041,              0.5132,            0.030863,            0.037767,           0.0086232,             0.00604,             0.00604,             0.00604
                  14,            0.033689,            0.048684,            0.010548,             0.71823,             0.83568,              0.7617,             0.52041,            0.029737,            0.038172,           0.0081181,             0.00571,             0.00571,             0.00571
                  15,            0.033276,            0.049073,            0.010453,             0.73054,             0.82602,             0.77266,             0.52818,            0.028251,            0.037554,           0.0079267,             0.00538,             0.00538,             0.00538
                  16,            0.031489,            0.047102,           0.0098832,              0.7431,             0.84731,             0.79606,             0.52524,            0.029517,            0.038051,           0.0075714,             0.00505,             0.00505,             0.00505
                  17,            0.031987,             0.04503,            0.009107,             0.77042,             0.84558,             0.80647,             0.53372,            0.030292,            0.038068,           0.0072066,             0.00472,             0.00472,             0.00472
                  18,            0.030143,            0.044812,           0.0088259,             0.76225,              0.8755,              0.8127,              0.5225,             0.02899,            0.038497,            0.006799,             0.00439,             0.00439,             0.00439
                  19,            0.030207,            0.044432,           0.0088298,             0.76122,             0.89069,             0.82356,              0.5598,            0.028856,            0.039364,           0.0068351,             0.00406,             0.00406,             0.00406
                  20,            0.029508,            0.045691,           0.0083275,             0.77182,             0.87759,             0.84093,             0.57986,            0.027168,            0.038741,           0.0066775,             0.00373,             0.00373,             0.00373
                  21,            0.028719,            0.044294,           0.0078267,             0.78132,             0.89235,             0.84865,             0.57158,             0.02696,            0.039395,           0.0060805,              0.0034,              0.0034,              0.0034
                  22,            0.028191,            0.042855,            0.008187,             0.78009,             0.91328,             0.84372,             0.57574,            0.026897,            0.039042,           0.0059661,             0.00307,             0.00307,             0.00307
                  23,            0.027508,            0.044063,           0.0073717,             0.76538,             0.92325,             0.84892,             0.60097,            0.026202,            0.038185,           0.0056666,             0.00274,             0.00274,             0.00274
                  24,             0.02674,            0.043911,           0.0070087,             0.79429,             0.89378,             0.85608,             0.59454,            0.026264,            0.038957,           0.0053427,             0.00241,             0.00241,             0.00241
                  25,            0.026124,            0.042783,           0.0066635,             0.79866,             0.91166,             0.86789,             0.60056,            0.025868,            0.038407,           0.0049833,             0.00208,             0.00208,             0.00208
                  26,            0.025627,            0.042316,            0.007057,             0.80464,               0.908,             0.87572,             0.61199,            0.025529,            0.038589,           0.0046134,             0.00175,             0.00175,             0.00175
                  27,            0.025357,            0.043317,           0.0064212,             0.80828,             0.89365,              0.8826,             0.62244,            0.025215,            0.038313,           0.0045125,             0.00142,             0.00142,             0.00142
                  28,            0.024917,            0.041713,           0.0061093,             0.86628,             0.85647,             0.88432,             0.62883,            0.024994,            0.038611,           0.0045828,             0.00109,             0.00109,             0.00109
                  29,            0.025131,             0.04123,           0.0059445,              0.8753,             0.85043,             0.88984,             0.63558,            0.025085,            0.038679,           0.0045125,             0.00076,             0.00076,             0.00076
